,Xn,F(Xn),||F`(Xn)||
179,[-0.18319289 -3.07588098],10.67119271475699,6.769926542717177
180,[ 0.17218191 -2.92867992],10.592932222742816,6.363013808654741
181,[-0.16183276 -3.06703332],10.523796836641806,5.980558943093152
182,[ 0.15210565 -2.93699578],10.462722576969755,5.621091883088858
183,[-0.1429632 -3.0592173],10.408769523333245,5.283230925199379
184,[ 0.13437026 -2.94434201],10.361107349246568,4.9656774145532765
185,[-0.12629381 -3.05231261],10.319002543576556,4.667210753138519
186,[ 0.11870281 -2.95083169],10.281807121955936,4.3866837081223204
187,[-0.11156806 -3.046213  ],10.248948654436136,4.1230180021687755
188,[ 0.10486216 -2.95656467],10.219921455907183,3.8752001688045543
189,[-0.09855932 -3.04082461],10.19427880370706,3.6422776569017037
190,[ 0.09263532 -2.96162919],10.171626062651098,3.4233551693041475
191,[-0.08706739 -3.03606449],10.151614611677001,3.2175912215244127
192,[ 0.08183412 -2.9661032 ],10.133936478637855,3.024194907283119
193,[-0.07691541 -3.03185941],10.118319600673615,2.8424228584587365
194,[ 0.07229234 -2.97005553],10.10452363721923,2.671576387762353
195,[-0.06794714 -3.02814463],10.092336271212362,2.510998803154663
196,[ 0.06386311 -2.97354703],10.081569941577138,2.360072883682418
197,[-0.06002456 -3.02486299],10.072058956697475,2.218218507032065
198,[ 0.05641673 -2.97663143],10.063656944456902,2.084890419681501
199,[-0.05302575 -3.02196398],10.056234599601565,1.9595761410789052
200,[ 0.04983859 -2.97935618],10.04967769375876,1.8417939937928778
201,[-0.04684299 -3.019403  ],10.043885317485579,1.7310912520622064
202,[ 0.04402745 -2.98176323],10.038768327293182,1.6270424016288225
203,[-0.04138114 -3.01714063],10.034247973746691,1.529247504165052
204,[ 0.03889389 -2.98388962],10.030254689527458,1.4373306600085411
205,[-0.03655613 -3.01514205],10.02672701880622,1.3509385632959068
206,[ 0.03435889 -2.98576808],10.023610671450449,1.269739143941429
207,[-0.03229372 -3.0133765 ],10.020857687510262,1.1934202912408598
208,[ 0.03035268 -2.98742751],10.018425699124597,1.1216886541942455
209,[-0.0285283  -3.01181681],10.016277278488477,1.0542685139364467
210,[ 0.02681358 -2.98889345],10.014379361846727,0.9909007239412534
211,[-0.02520193 -3.01043898],10.012702740649518,0.9313417139255359
212,[ 0.02368714 -2.99018847],10.011221612038756,0.8753625536246712
213,[-0.0222634 -3.0092218],10.009913181747372,0.8227480728406124
214,[ 0.02092524 -2.99133248],10.008757313300176,0.7732960343802682
215,[-0.01966751 -3.00814655],10.007736218117639,0.726816356705211
216,[ 0.01848537 -2.99234311],10.006834181753261,0.6831303833047488
217,[-0.01737429 -3.00719667],10.00603732205147,0.6420701959840013
218,[ 0.01633    -2.99323589],10.005333375504065,0.603477969427434
219,[-0.01534847 -3.00635754],10.004711508517332,0.5672053645569528
220,[ 0.01442593 -2.99402458],10.004162150685238,0.5331129583527764
221,[-0.01355885 -3.00561626],10.003676847502854,0.5010697079454551
222,[ 0.01274388 -2.99472131],10.003248130253237,0.47095244691914784
223,[-0.0119779  -3.00496141],10.002869401065398,0.44264541189002476
224,[ 0.01125796 -2.9953368 ],10.002534831374415,0.4160397975401746
225,[-0.01058129 -3.00438291],10.002239272221027,0.391033338396545
226,[ 0.00994529 -2.99588053],10.001978175010166,0.36752991574749355
227,[-0.00934752 -3.00387187],10.00174752150905,0.3454391881859932
228,[ 0.00878568 -2.99636085],10.001543762007348,0.32467624435933184
229,[-0.0082576  -3.00342041],10.001363760687918,0.3051612765906608
230,[ 0.00776127 -2.99678518],10.001204747367185,0.2868192741178119
231,[-0.00729478 -3.00302159],10.001064274862589,0.2695797347702772
232,[ 0.00685632 -2.99716002],10.000940181330948,0.2533763939761029
233,[-0.00644421 -3.00266928],10.000830556998139,0.23814697005708038
234,[ 0.00605688 -2.99749116],10.000733714768042,0.22383292483322925
235,[-0.00569282 -3.00235804],10.000648164258507,0.21037923861634675
236,[ 0.00535065 -2.99778369],10.000572588864642,0.19773419872777578
237,[-0.00502904 -3.0020831 ],10.00050582549656,0.18584920072753597
238,[ 0.00472677 -2.99804211],10.000446846679655,0.17467856159073272
239,[-0.00444266 -3.00184021],10.000394744741959,0.1641793441131908
240,[ 0.00417563 -2.9982704 ],10.000348717845293,0.1543111918713433
241,[-0.00392465 -3.00162564],10.000308057645105,0.14503617410200767
242,[ 0.00368876 -2.99847207],10.000272138389212,0.1363186399058247
243,[-0.00346704 -3.00143609],10.000240407287597,0.12812508121390453
244,[ 0.00325865 -2.99865022],10.000212376005077,0.12042400399102031
245,[-0.00306279 -3.00126865],10.000187613145943,0.1131858071802375
246,[ 2.87869428e-03 -2.99880761e+00],10.000165737614836,0.1063826689236904
247,[-2.70566768e-03 -3.00112072e+00],10.000146412751803,0.09998843962216908
248,[ 2.54304101e-03 -2.99894664e+00],10.00012934115114,0.09397854142245222
249,[-2.39018916e-03 -3.00099005e+00],10.000114260084402,0.08832987374605666
250,[ 2.24652462e-03 -2.99906946e+00],10.000100937457043,0.08302072449626766
251,[-2.11149516e-03 -3.00087461e+00],10.000089168236556,0.07803068660214021
252,[ 1.98458178e-03 -2.99917796e+00],10.00007877129703,0.07334057957872027
253,[-1.86529665e-03 -3.00077263e+00],10.000069586631692,0.06893237580194501
254,[ 1.75318126e-03 -2.99927381e+00],10.000061472890419,0.06478913121487402
255,[-1.64780467e-03 -3.00068254e+00],10.00005430520438,0.06089492019886885
256,[ 1.54876183e-03 -2.99935848e+00],10.000047973264357,0.05723477435942758
257,[-1.45567206e-03 -3.00060296e+00],10.000042379623082,0.053794624991317604
258,[ 1.36817754e-03 -2.99943328e+00],10.000037438195559,0.050561249001936426
259,[-1.28594195e-03 -3.00053265e+00],10.00003307293423,0.047522218084954056
260,[ 1.20864922e-03 -2.99949936e+00],10.000029216658604,0.04466585094896842
261,[-1.13600223e-03 -3.00047055e+00],10.000025810021391,0.04198116841745483
262,[ 1.06772176e-03 -2.99955774e+00],10.000022800595147,0.039457851227517764
263,[-1.00354535e-03 -3.00041568e+00],10.000020142065402,0.03708620036514844
264,[ 9.43226323e-04 -2.99960930e+00],10.000017793517937,0.03485709978461195
265,[-8.86532827e-04 -3.00036721e+00],10.000015718809083,0.03276198136858014
266,[ 8.33246947e-04 -2.99965486e+00],10.000013886009492,0.030792791994386882
267,[-7.83163864e-04 -3.00032440e+00],10.000012266912755,0.028941962579804515
